filename;cell;current;shadow;power;abs_power;mean;std;rel_power;std_power;std_power_norm;pv_kind;class_std
P1C3.75S0.tiff;1;1,27;0;1,4322;1,86655;1,444916667;0,207138222;0,767297956;-0,061392178;0,485685972;Poli;2
P1C4.5S0.tiff;1;1,53;0;1,7329;2,209;1,688693023;0,239507812;0,784472612;0,184574258;0,528834069;Poli;2
P1C4.5S0.tiff;1;1,53;0;1,7782;2,209;1,688693023;0,239507812;0,804979629;0,373712139;0,570940632;Poli;2
P1C5.25S0.tiff;1;1,78;0;1,9821;2,55835;1,998705556;0,288360319;0,774757168;-0,057586133;0,474923442;Poli;2
P1C6S0.tiff;1;2,03;0;2,175;2,89635;2,266655556;0,317523409;0,750945155;-0,288657633;0,423481464;Poli;2
P1C6.75S0.tiff;1;2,28;0;2,4292;3,22765;2,531455556;0,362157405;0,752621877;-0,282351138;0,424885439;Poli;2
P1C7.5S0.tiff;1;2,53;0;2,5777;3,55975;2,790758333;0,39865961;0,724123885;-0,534436717;0,368765231;Poli;2
P1C3.75S1.tiff;1;1,27;1;1,08;1,86655;1,444916667;0,207138222;0,578607592;-1,761706085;0,097885928;Poli;2
P1C4.5S1.tiff;1;1,53;1;1,2721;2,209;1,688693023;0,239507812;0,575871435;-1,739371336;0,100518304;Poli;2
P1C4.5S1.tiff;1;1,53;1;1,3322;2,209;1,688693023;0,239507812;0,603078316;-1,488440064;0,156381537;Poli;2
P1C5.25S1.tiff;1;1,78;1;1,4904;2,55835;1,998705556;0,288360319;0,58256298;-1,762744461;0,095314894;Poli;2
P1C6S1.tiff;1;2,03;1;1,6983;2,89635;2,266655556;0,317523409;0,586358693;-1,789964267;0,089255122;Poli;2
P1C6.75S1.tiff;1;2,28;1;1,9073;3,22765;2,531455556;0,362157405;0,590925286;-1,723437232;0,104065612;Poli;2
P1C7.5S1.tiff;1;2,53;1;2,0931;3,55975;2,790758333;0,39865961;0,58799073;-1,750010073;0,09814987;Poli;2
P1C3.75S2.tiff;1;1,27;2;1,2746;1,86655;1,444916667;0,207138222;0,682864108;-0,822236788;0,312155913;Poli;2
P1C4.5S2.tiff;1;1,53;2;1,4947;2,209;1,688693023;0,239507812;0,676641014;-0,809965326;0,30742605;Poli;2
P1C4.5S2.tiff;1;1,53;2;1,5049;2,209;1,688693023;0,239507812;0,681258488;-0,767377989;0,316906998;Poli;2
P1C5.25S2.tiff;1;1,78;2;1,7272;2,55835;1,998705556;0,288360319;0,675122638;-0,941549643;0,278132271;Poli;2
P1C6S2.tiff;1;2,03;2;1,96;2,89635;2,266655556;0,317523409;0,676713795;-0,965773065;0,272739565;Poli;2
P1C6.75S2.tiff;1;2,28;2;2,1742;3,22765;2,531455556;0,362157405;0,673617028;-0,986464865;0,268133081;Poli;2
P1C7.5S2.tiff;1;2,53;2;2,3672;3,55975;2,790758333;0,39865961;0,664990519;-1,062456097;0,251215636;Poli;2
P1C3.75S3.tiff;1;1,27;3;0,9911;1,86655;1,444916667;0,207138222;0,530979615;-2,190888102;0;Poli;2
P1C4.5S3.tiff;1;1,53;3;1,1822;2,209;1,688693023;0,239507812;0,535174287;-2,114724437;0,016955832;Poli;2
P1C4.5S3.tiff;1;1,53;3;1,3694;2,209;1,688693023;0,239507812;0,619918515;-1,333121539;0,190959111;Poli;2
P1C5.25S3.tiff;1;1,78;3;1,4001;2,55835;1,998705556;0,288360319;0,547266793;-2,075894344;0,025600329;Poli;2
P1C6S3.tiff;1;2,03;3;1,589;2,89635;2,266655556;0,317523409;0,548621541;-2,134190856;0,012622147;Poli;2
P1C6.75S3.tiff;1;2,28;3;1,7499;3,22765;2,531455556;0,362157405;0,542159156;-2,158054881;0,007309451;Poli;2
P1C7.5S3.tiff;1;2,53;3;1,9215;3,55975;2,790758333;0,39865961;0,539785097;-2,180452474;0,002323217;Poli;2
P1C3.75S4.tiff;1;1,27;4;1,2656;1,86655;1,444916667;0,207138222;0,678042378;-0,865686036;0,302246201;Poli;2
P1C4.5S4.tiff;1;1,53;4;1,4759;2,209;1,688693023;0,239507812;0,668130376;-0,888459634;0,289951362;Poli;2
P1C4.5S4.tiff;1;1,53;4;1,5774;2,209;1,688693023;0,239507812;0,714078769;-0,464673875;0,384296088;Poli;2
P1C5.25S4.tiff;1;1,78;4;1,7221;2,55835;1,998705556;0,288360319;0,673129165;-0,959235849;0,274194903;Poli;2
P1C6S4.tiff;1;2,03;4;1,944;2,89635;2,266655556;0,317523409;0,671189601;-1,01616305;0,261521563;Poli;2
